companyId,Name,Sector,Industry
NUVAMA,Nuvama Wealth Management Ltd,Stock/ Commodity Brokers,Finance - Capital Markets - Wealth Management
NUVOCO,Nuvoco Vistas Corporation Ltd,Cement,Cement
NXT-INFRA,Nxt-Infra Trust,Infrastructure Investment Trusts,Infra/Real Estate Investment Trust
OBEROIRLTY,Oberoi Realty Ltd,Realty,Realty - Regional
OBSCP,OBSC Perfection Ltd,Auto Ancillaries,Auto Ancillaries - Diversified
OCCLLTD,OCCL Ltd,Chemicals,Chemicals - Organic
OIL,Oil India Ltd,Crude Oil & Natural Gas,Oil Drilling & Exploration
ONGC,Oil & Natural Gas Corpn Ltd,Crude Oil & Natural Gas,Oil Drilling & Exploration
OLAELEC,Ola Electric Mobility Ltd,Automobile,Auto - 2 & 3 Wheelers
OLECTRA,Olectra Greentech Ltd,Automobile,Auto - Bus/LCVs
OMAXAUTO,Omax Autos Ltd,Auto Ancillaries,Auto Ancillaries - Sheet Metal
OMAXE,Omaxe Ltd,Realty,Realty - Construction & Contracting
OMINFRAL,Om Infra Ltd,Infrastructure Developers & Operators,Project Consultancy/Turnkey
OMNI,Omnitech Engineering Ltd,Engineering,Engineering - Light - General
OMPOWER,Om Power Transmission Ltd,Infrastructure Developers & Operators,Transmission Line Towers/Equipment
PAYTM,One 97 Communications Ltd,E-Commerce/App based Aggregator,E-Commerce - Platform - Utility
ONEGLOBAL,One Global Service Provider Ltd,Healthcare,Diagnostics
KISSHT,Onemi Technology Solutions Ltd,E-Commerce/App based Aggregator,Finance - Investment/Others
MOBIKWIK,One Mobikwik Systems Ltd,E-Commerce/App based Aggregator,E-Commerce - Platform - Utility
ONEPOINT,One Point One Solutions Ltd,IT - Software,IT Enabled Services
ONESOURCE,OneSource Specialty Pharma Ltd,Pharmaceuticals,Pharma - API & CRAMS
ONIDA,Onida Electronics Ltd,Consumer Durables,Consumer Electronics
ONIXSOLAR,Onix Solar Energy Ltd,Trading,Trading
ONMOBILE,OnMobile Global Ltd,Telecom-Service,Telecom Services
ONWARDTEC,Onward Technologies Ltd,IT - Software,IT - ER&D
OPTIEMUS,Optiemus Infracom Ltd,Telecom-Handsets/Mobile,Telecom Services
OFSS,Oracle Financial Services Software Ltd,IT - Software,IT Product Companies
ORBTEXP,Orbit Exports Ltd,Textiles,Textiles - Weaving
ORCHPHARMA,Orchid Pharma Ltd,Pharmaceuticals,Pharma - API
ORIANA,Oriana Power Ltd,Power Infrastructure,Solar EPC
ORICONENT,Oricon Enterprises Ltd,Packaging,Packaging & Containers
OAL,Oriental Aromatics Ltd,Chemicals,Chemicals - Organic
ORIENTHOT,Oriental Hotels Ltd,Hotels & Restaurants,Hotels
OSEINTRUST,Oriental Infra Trust,Infrastructure Investment Trusts,Construction - Civil/Turnkey
ORIRAIL,Oriental Rail Infrastructure Ltd,Miscellaneous,Railways
ORIENTCEM,Orient Cement Ltd,Cement,Cement
ORIENTELEC,Orient Electric Ltd,Consumer Durables,Consumer Electronics
ORIENTTECH,Orient Technologies Ltd,IT - Software,IT - Software
ORISSAMINE,Orissa Minerals Development Company Ltd,Mining & Mineral products,Mining/Minerals
ORISSASP,Orissa Sponge Iron & Steel Ltd,Steel,Steel - Sponge Iron
ORKLAINDIA,Orkla India Ltd,FMCG,FMCG Processing - Other
OSELDEVICE,OSEL Devices Ltd,Healthcare,Electronics - Others
OSWALAGRO,Oswal Agro Mills Ltd,Trading,Trading
OSWALGREEN,Oswal Green Tech Ltd,Diversified,Finance & Investments - Others
OSWALPUMPS,Oswal Pumps Ltd,Capital Goods-Non Electrical Equipment,Solar Pumps
PACEDIGITK,Pace Digitek Ltd,Telecom Equipment & Infra Services,Engineering - Turnkey Services
PAGEIND,Page Industries Ltd,Readymade Garments/ Apparells,Textiles - Hosiery/Knitwear
PAISALO,Paisalo Digital Ltd,Finance,Finance - Capital Markets - Brokers
PANACEABIO,Panacea Biotec Ltd,Pharmaceuticals,Pharma - Others
PANACHE,Panache Digilife Ltd,IT - Hardware,Computer - Hardware
PANAMAPET,Panama Petrochem Ltd,Petrochemicals,Speciality Chemicals
PANCHMAHQ,Panchmahal Steel Ltd,Steel,Steel Products
PANORAMA,Panorama Studios International Ltd,Entertainment,Entertainment & Media
PANSARI,Pansari Developers Ltd,Construction,Construction - Housing
PARADEEP,Paradeep Phosphates Ltd,Fertilizers,Fertilisers
PARAGMILK,Parag Milk Foods Ltd,FMCG,FMCG - Dairy Products
PARACABLES,Paramount Communications Ltd,Cables,Cables - Telecom
PARAS,Paras Defence and Space Technologies Ltd,Aerospace & Defence,Aerospace & Defence - Equipments
PARIN,Parin Enterprises Ltd,Consumer Durables,Miscellaneous
PARKHOSPS,Park Medi World Ltd,Healthcare,Hospitals/Medical Services
PARTH,Parth Electricals & Engineering Ltd,Capital Goods - Electrical Equipment,Electric Equipment - General
PASHUPATI,Pashupati Cotspin Ltd,Textiles,Textiles - Spinning
PASUPTAC,Pasupati Acrylon Ltd,Textiles,Textiles - Acrylic Fibre
PATANJALI,Patanjali Foods Ltd,FMCG,FMCG - Foods
PATELENG,Patel Engineering Ltd,Infrastructure Developers & Operators,Infra - Construction & Contracting
PATELRMART,Patel Retail Ltd,Retail,Trading
PAUSHAKLTD,Paushak Ltd,Chemicals,Speciality Chemicals
POLICYBZR,PB Fintech Ltd,IT - Software,Insurance - Proxy
PCBL,PCBL Chemical Ltd,Chemicals,Carbon Black
PDSL,PDS Ltd,Textiles,Services - Others
PGIL,Pearl Global Industries Ltd,Readymade Garments/ Apparells,Textiles - Readymade Apparel
PENIND,Pennar Industries Ltd,Steel,Pre-Engineering Buildings
